GAME_DATE,home_TEAM_ABBREVIATION,away_TEAM_ABBREVIATION,kalshi_market_ticker,kalshi_event_ticker,kalshi_market_title,kalshi_market_subtitle,kalshi_market_status,kalshi_market_source,kalshi_yes_price,kalshi_yes_price_pregame,kalshi_pregame_sampled_ts,kalshi_no_price,kalshi_last_price,kalshi_price_home_win,kalshi_yes_team,kalshi_volume,kalshi_close_time,kalshi_settlement_ts
2026-03-15,NYK,GSW,KXNBAGAME-26MAR15GSWNYK-GSW,KXNBAGAME-26MAR15GSWNYK,Golden State at New York Winner?,,finalized,live,0.005,0.115,2026-03-16T00:02:00+00:00,0.995,0.01,0.885,GSW,14813994.0,2026-03-16T02:52:03Z,2026-03-16T02:53:43.192235Z
2026-02-25,DET,OKC,KXNBAGAME-26FEB25OKCDET-OKC,KXNBAGAME-26FEB25OKCDET,Oklahoma City at Detroit Winner?,,finalized,historical,0.005,,,0.995,0.01,0.995,OKC,10602586.0,2026-02-26T03:20:34Z,2026-02-26T03:22:05.889236Z
2026-03-09,OKC,DEN,KXNBAGAME-26MAR09DENOKC-OKC,KXNBAGAME-26MAR09DENOKC,Denver at Oklahoma City Winner?,,finalized,live,0.995,0.435,2026-03-09T23:52:00+00:00,0.005,0.99,0.435,OKC,10340746.0,2026-03-10T02:42:05Z,2026-03-10T02:43:43.288829Z
2026-02-22,GSW,DEN,KXNBAGAME-26FEB22DENGSW-DEN,KXNBAGAME-26FEB22DENGSW,Denver at Golden State Winner?,,finalized,historical,0.005,,,0.995,0.01,0.995,DEN,9385200.0,2026-02-22T23:22:34Z,2026-02-22T23:24:07.130882Z
2026-02-22,OKC,CLE,KXNBAGAME-26FEB22CLEOKC-CLE,KXNBAGAME-26FEB22CLEOKC,Cleveland at Oklahoma City Winner?,,finalized,historical,0.005,,,0.995,0.01,0.995,CLE,9206073.0,2026-02-22T20:48:38Z,2026-02-22T20:50:16.992461Z
2026-03-01,NYK,SAS,KXNBAGAME-26MAR01SASNYK-SAS,KXNBAGAME-26MAR01SASNYK,San Antonio at New York Winner?,,finalized,historical,0.005,0.515,2026-03-01T18:06:00+00:00,0.995,0.01,0.485,SAS,9170881.0,2026-03-01T20:56:12Z,2026-03-01T20:57:47.163626Z
2026-02-21,PHX,ORL,KXNBAGAME-26FEB21ORLPHX-ORL,KXNBAGAME-26FEB21ORLPHX,Orlando at Phoenix Winner?,,finalized,historical,0.005,,,0.995,0.01,0.995,ORL,8448867.0,2026-02-22T01:16:22Z,2026-02-22T01:17:56.920772Z
2026-03-15,PHI,POR,KXNBAGAME-26MAR15PORPHI-PHI,KXNBAGAME-26MAR15PORPHI,Portland at Philadelphia Winner?,,finalized,live,0.995,0.255,2026-03-15T21:36:00+00:00,0.005,0.99,0.255,PHI,8221751.0,2026-03-16T00:26:05Z,2026-03-16T00:27:40.202991Z
2026-02-28,MIA,HOU,KXNBAGAME-26FEB28HOUMIA-HOU,KXNBAGAME-26FEB28HOUMIA,Houston at Miami Winner?,,finalized,historical,0.005,0.56,2026-02-28T20:37:00+00:00,0.995,0.01,0.44,HOU,7987546.0,2026-02-28T23:27:56Z,2026-02-28T23:29:27.213382Z
2026-02-21,NYK,HOU,KXNBAGAME-26FEB21HOUNYK-NYK,KXNBAGAME-26FEB21HOUNYK,Houston at New York Winner?,,finalized,historical,0.995,,,0.005,0.99,0.995,NYK,7875842.0,2026-02-22T04:24:05Z,2026-02-22T04:25:37.027956Z
2026-03-23,CHI,HOU,KXNBAGAME-26MAR23HOUCHI-HOU,KXNBAGAME-26MAR23HOUCHI,Houston at Chicago Winner?,,finalized,live,0.005,0.775,2026-03-23T23:46:00+00:00,0.995,0.01,0.225,HOU,7598858.0,2026-03-24T02:36:12Z,2026-03-24T02:37:51.58455Z
2026-03-10,SAS,BOS,KXNBAGAME-26MAR10BOSSAS-BOS,KXNBAGAME-26MAR10BOSSAS,Boston at San Antonio Winner?,,finalized,live,0.005,0.415,2026-03-11T00:04:00+00:00,0.995,0.01,0.585,BOS,6626528.0,2026-03-11T02:54:07Z,2026-03-11T02:55:37.686228Z
2026-03-08,MIA,DET,KXNBAGAME-26MAR08DETMIA-DET,KXNBAGAME-26MAR08DETMIA,Detroit at Miami Winner?,,finalized,live,0.005,0.515,2026-03-08T22:02:00+00:00,0.995,0.01,0.485,DET,6508524.0,2026-03-09T00:52:07Z,2026-03-09T00:53:38.855184Z
