GAME_DATE,home_TEAM_ABBREVIATION,away_TEAM_ABBREVIATION,home_REST_DAYS,away_REST_DAYS,home_SPLIT_WIN_PCT,away_SPLIT_WIN_PCT,home_ROLLING_5_WIN,home_ROLLING_10_WIN,away_ROLLING_5_WIN,away_ROLLING_10_WIN,home_ROLLING_5_OFF_RATING,home_ROLLING_5_DEF_RATING,home_ROLLING_5_PACE,away_ROLLING_5_OFF_RATING,away_ROLLING_5_DEF_RATING,away_ROLLING_5_PACE,home_WIN
2023-11-11,ATL,MIA,1.0,2.0,0.8333333333333334,0.16666666666666666,0.8,0.5,0.6,0.4,120.66,113.16,102.9,109.43999999999998,108.78,101.7,0
2023-11-15,ATL,NYK,0.0,1.0,0.7142857142857143,0.3333333333333333,0.6,0.6,0.6,0.5,116.24000000000001,114.55999999999999,102.5,120.43999999999998,112.08,95.0,0
2023-11-17,ATL,PHI,1.0,1.0,0.625,0.6,0.4,0.6,0.6,0.8,114.34,116.84,102.5,117.35999999999999,116.44000000000001,100.5,0
2023-11-21,ATL,IND,3.0,1.0,0.5555555555555556,0.3333333333333333,0.4,0.6,0.6,0.5,115.92,118.78000000000002,100.9,121.35999999999999,120.35999999999999,105.0,0
2023-11-22,ATL,BKN,0.0,2.0,0.5,0.5,0.2,0.5,0.4,0.5,120.97999999999999,124.7,101.8,113.35999999999999,117.08,96.6,1
2023-12-06,ATL,BKN,3.0,3.0,0.5454545454545454,0.4444444444444444,0.4,0.4,0.8,0.6,115.74000000000001,118.82000000000001,103.7,125.28,111.78,96.4,0
2023-12-11,ATL,DEN,2.0,2.0,0.5,0.4117647058823529,0.2,0.3,0.4,0.5,113.28,122.2,103.9,119.7,119.52000000000001,97.4,0
2023-12-18,ATL,DET,1.0,1.0,0.46153846153846156,0.1875,0.2,0.2,0.0,0.0,121.83999999999999,125.04,99.5,102.84,126.52000000000001,103.2,1
2023-12-23,ATL,MEM,0.0,1.0,0.5,0.35294117647058826,0.6,0.3,0.4,0.4,124.0,121.12,100.0,105.7,109.74000000000001,100.4,0
2023-12-29,ATL,SAC,2.0,2.0,0.4666666666666667,0.375,0.4,0.3,0.4,0.6,121.55999999999999,122.98000000000002,100.2,120.22,125.97999999999999,98.5,0
2024-01-03,ATL,OKC,2.0,0.0,0.4375,0.6428571428571429,0.2,0.4,1.0,0.8,115.32000000000001,119.75999999999999,101.5,124.84,109.62,100.5,1
2024-01-10,ATL,PHI,2.0,3.0,0.47058823529411764,0.6111111111111112,0.4,0.4,0.4,0.5,114.88,122.47999999999999,103.69000000000001,108.36000000000001,116.7,98.8,1
2024-01-12,ATL,IND,1.0,1.0,0.5,0.47368421052631576,0.6,0.4,0.8,0.8,117.7,122.66000000000001,103.976,122.62,115.84,103.6,0
2024-01-13,ATL,WAS,0.0,2.0,0.47368421052631576,0.17391304347826086,0.4,0.3,0.0,0.1,115.22,124.74000000000001,102.276,106.1,124.44000000000001,99.8,0
