GAME_DATE,home_TEAM_ABBREVIATION,away_TEAM_ABBREVIATION,home_REST_DAYS,away_REST_DAYS,home_SPLIT_WIN_PCT,away_SPLIT_WIN_PCT,home_ROLLING_5_WIN,home_ROLLING_10_WIN,away_ROLLING_5_WIN,away_ROLLING_10_WIN,home_ROLLING_5_OFF_RATING,home_ROLLING_5_DEF_RATING,home_ROLLING_5_PACE,away_ROLLING_5_OFF_RATING,away_ROLLING_5_DEF_RATING,away_ROLLING_5_PACE,home_WIN,kalshi_market_ticker,kalshi_event_ticker,kalshi_market_title,kalshi_market_subtitle,kalshi_market_status,kalshi_market_source,kalshi_yes_price,kalshi_no_price,kalshi_last_price,kalshi_price_home_win,kalshi_yes_team,kalshi_volume,kalshi_close_time,kalshi_settlement_ts
2025-04-18,ATL,MIA,2.0,1.0,0.5238095238095238,0.4545454545454545,0.6,0.5,0.6,0.6,116.2,113.04,99.9,119.21999999999998,106.3,101.4,0,KXNBAGAME-25APR18MIAATL-ATL,KXNBAGAME-25APR18MIAATL,Miami vs Atlanta Winner?,,finalized,live,0.005,0.995,0.01,0.005,ATL,349040.0,2025-04-19T01:45:05.883567Z,2025-04-19T01:53:28.773762Z
2025-10-13,ATL,MIA,1.0,0.0,0.0,0.0,0.4,0.5,0.0,0.2,110.12,115.32,99.818,96.48,115.36,104.5,1,KXNBAGAME-25OCT13MIAATL-ATL,KXNBAGAME-25OCT13MIAATL,Miami vs Atlanta Winner?,,finalized,live,0.5,0.5,0.99,0.5,ATL,391936.0,2025-10-14T01:20:29.279382Z,2025-10-14T01:28:52.918594Z
2025-10-16,ATL,HOU,2.0,1.0,1.0,1.0,0.4,0.6,0.8,0.6,106.82,114.1,101.302,117.7,115.28,100.5,0,KXNBAGAME-25OCT16HOUATL-HOU,KXNBAGAME-25OCT16HOUATL,Houston vs Atlanta Winner?,,finalized,live,0.5,0.5,0.99,0.5,HOU,266639.0,2025-10-17T02:19:49.153856Z,2025-10-17T02:29:09.699459Z
2025-10-22,ATL,TOR,5.0,4.0,0.5,0.6666666666666666,0.4,0.5,0.8,0.6,107.74,112.74,104.402,109.08,106.38,106.0,0,KXNBAGAME-25OCT22TORATL-ATL,KXNBAGAME-25OCT22TORATL,Toronto vs Atlanta Winner?,,finalized,live,0.5,0.5,0.01,0.5,ATL,963636.0,2025-10-23T02:29:59.45035Z,2025-10-23T02:39:19.803057Z
2025-10-25,ATL,OKC,0.0,1.0,0.3333333333333333,0.6,0.6,0.5,0.8,0.7,106.52,111.06,107.884,106.56,105.96,100.128,0,KXNBAGAME-25OCT25OKCATL-OKC,KXNBAGAME-25OCT25OKCATL,Oklahoma City vs Atlanta Winner?,,finalized,live,0.5,0.5,0.99,0.5,OKC,940139.0,2025-10-26T02:02:12.762059Z,2025-10-26T02:11:32.872174Z
2025-11-04,ATL,ORL,1.0,2.0,0.25,0.6666666666666666,0.4,0.5,0.4,0.6,114.1,115.6,101.0,115.4,115.02,101.9,1,KXNBAGAME-25NOV04ORLATL-ORL,KXNBAGAME-25NOV04ORLATL,Orlando vs Atlanta Winner?,,finalized,live,0.5,0.5,0.01,0.5,ORL,2255887.0,2025-11-05T04:09:58.191137Z,2025-11-05T04:19:18.785689Z
2025-11-07,ATL,TOR,2.0,2.0,0.4,0.5714285714285714,0.6,0.5,0.6,0.5,118.4,113.36,102.0,117.82,113.8,98.9,0,KXNBAGAME-25NOV07TORATL-TOR,KXNBAGAME-25NOV07TORATL,Toronto vs Atlanta Winner?,,finalized,live,0.5,0.5,0.99,0.5,TOR,2338188.0,2025-11-08T03:19:41.27309Z,2025-11-08T03:29:02.209028Z
2025-11-18,ATL,DET,1.0,0.0,0.4285714285714285,0.6666666666666666,1.0,0.8,1.0,1.0,120.4,107.82,102.0,117.34,109.16,102.42,0,KXNBAGAME-25NOV18DETATL-DET,KXNBAGAME-25NOV18DETATL,Detroit vs Atlanta Winner?,,finalized,live,0.5,0.5,0.99,0.5,DET,4233844.0,2025-11-19T03:14:34.931877Z,2025-11-19T03:23:54.863355Z
2025-11-23,ATL,CHA,0.0,0.0,0.375,0.1818181818181818,0.6,0.7,0.0,0.2,119.1,116.46,102.3,112.44,123.66,99.116,1,KXNBAGAME-25NOV23CHAATL-ATL,KXNBAGAME-25NOV23CHAATL,Charlotte vs Atlanta Winner?,,finalized,live,0.5,0.5,0.99,0.5,ATL,2463921.0,2025-11-24T01:39:45.86566Z,2025-11-24T01:49:06.444182Z
2025-11-28,ATL,CLE,2.0,3.0,0.4444444444444444,0.4,0.4,0.7,0.6,0.6,116.06000000000002,118.74,99.9,112.22,109.32,99.8,1,KXNBAGAME-25NOV28CLEATL-ATL,KXNBAGAME-25NOV28CLEATL,Cleveland vs Atlanta Winner?,,finalized,live,0.5,0.5,0.99,0.5,ATL,2064164.0,2025-11-29T03:19:53.308111Z,2025-11-29T03:29:18.003231Z
